,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc,EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_MAG_AVG_nt,ARTEMIS_DENSITY_Ncc,ARTEMIS_SPEED_kms,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG,new_time,Time_offset_hours,LAT_DIFF_deg,LONG_DIFF_deg,SCALED_ARTEMIS_DENSITY,SCALED_ARTEMIS_MAG_AVG
74,2018-03-26 01:00:00+00:00,-6.9,108.3,6.7,478.0,6.3,2018-03-26 02:00:00+00:00,6.408571428571428,4.067142857142857,458.31428571428575,1.0,-6.799999999999998,109.29999999999997,2018-03-26 01:00:00+00:00,1,0.10000000000000231,0.9999999999999716,4.067142857142857,6.408571428571428
75,2018-03-26 02:00:00+00:00,-6.9,108.3,6.5,485.0,5.1,2018-03-26 03:00:00+00:00,6.936666666666668,3.3349999999999995,455.1666666666667,1.0,-6.799999999999998,109.29999999999997,2018-03-26 02:00:00+00:00,1,0.10000000000000231,0.9999999999999716,3.3349999999999995,6.936666666666668
76,2018-03-26 03:00:00+00:00,-6.9,108.4,6.7,476.0,4.1,2018-03-26 04:00:00+00:00,6.595714285714287,2.664285714285714,458.97142857142865,1.0,-6.799999999999998,109.29999999999997,2018-03-26 03:00:00+00:00,1,0.10000000000000231,0.899999999999963,2.664285714285714,6.595714285714287
77,2018-03-26 04:00:00+00:00,-6.9,108.4,6.5,476.0,4.0,2018-03-26 05:00:00+00:00,6.87,2.39,458.1166666666668,1.0,-6.799999999999998,109.29999999999997,2018-03-26 04:00:00+00:00,1,0.10000000000000231,0.899999999999963,2.39,6.87
78,2018-03-26 05:00:00+00:00,-6.9,108.5,6.8,478.0,2.8,2018-03-26 06:00:00+00:00,7.061428571428572,2.4200000000000004,465.4142857142856,1.0,-6.799999999999998,109.29999999999997,2018-03-26 05:00:00+00:00,1,0.10000000000000231,0.7999999999999687,2.4200000000000004,7.061428571428572
79,2018-03-26 06:00:00+00:00,-6.9,108.5,6.8,486.0,2.5,2018-03-26 07:00:00+00:00,5.974999999999999,3.191666666666667,476.0833333333333,1.0,-6.799999999999998,109.29999999999997,2018-03-26 06:00:00+00:00,1,0.10000000000000231,0.7999999999999687,3.191666666666667,5.974999999999999
80,2018-03-26 07:00:00+00:00,-6.9,108.5,6.4,496.0,3.1,2018-03-26 08:00:00+00:00,4.877142857142856,3.255714285714286,506.2,1.0,-6.799999999999998,109.29999999999997,2018-03-26 07:00:00+00:00,1,0.10000000000000231,0.7999999999999687,3.255714285714286,4.877142857142856
81,2018-03-26 08:00:00+00:00,-6.9,108.6,5.1,530.0,4.0,2018-03-26 09:00:00+00:00,4.418333333333334,2.706666666666667,484.45,1.0,-6.799999999999998,109.29999999999997,2018-03-26 08:00:00+00:00,1,0.10000000000000231,0.6999999999999744,2.706666666666667,4.418333333333334
82,2018-03-26 09:00:00+00:00,-6.9,108.6,4.6,518.0,3.9,2018-03-26 10:00:00+00:00,4.041428571428573,2.711428571428572,481.1000000000002,1.0,-6.799999999999998,109.29999999999997,2018-03-26 09:00:00+00:00,1,0.10000000000000231,0.6999999999999744,2.711428571428572,4.041428571428573
83,2018-03-26 10:00:00+00:00,-6.9,108.7,4.1,512.0,3.8,2018-03-26 11:00:00+00:00,4.097999999999999,2.662,482.84,1.0,-6.799999999999999,109.29999999999998,2018-03-26 10:00:00+00:00,1,0.10000000000000142,0.5999999999999801,2.662,4.097999999999999
84,2018-03-26 11:00:00+00:00,-6.9,108.7,4.0,506.0,3.5,2018-03-26 12:00:00+00:00,3.3464,2.772,483.3999999999999,1.0,-6.800000000000006,109.3000000000001,2018-03-26 11:00:00+00:00,1,0.09999999999999432,0.6000000000000938,2.772,3.3464
85,2018-03-26 12:00:00+00:00,-6.9,108.8,3.3,509.0,3.2,2018-03-26 13:00:00+00:00,3.9123076923076927,2.6788461538461537,482.0461538461537,1.0,-6.800000000000006,109.3000000000001,2018-03-26 12:00:00+00:00,1,0.09999999999999432,0.5000000000000995,2.6788461538461537,3.9123076923076927
86,2018-03-26 13:00:00+00:00,-6.9,108.8,4.1,507.0,3.4,2018-03-26 14:00:00+00:00,4.4119230769230775,2.5188461538461535,480.7230769230767,1.0,-6.800000000000006,109.3000000000001,2018-03-26 13:00:00+00:00,1,0.09999999999999432,0.5000000000000995,2.5188461538461535,4.4119230769230775
87,2018-03-26 14:00:00+00:00,-6.9,108.8,4.3,502.0,2.9,2018-03-26 15:00:00+00:00,4.201851851851852,2.516666666666665,475.15555555555557,1.0,-6.800000000000006,109.3000000000001,2018-03-26 14:00:00+00:00,1,0.09999999999999432,0.5000000000000995,2.516666666666665,4.201851851851852
88,2018-03-26 15:00:00+00:00,-6.9,108.9,4.2,488.0,2.3,2018-03-26 16:00:00+00:00,3.81076923076923,2.1346153846153846,467.9115384615388,1.0,-6.800000000000006,109.3000000000001,2018-03-26 15:00:00+00:00,1,0.09999999999999432,0.40000000000009095,2.1346153846153846,3.81076923076923
