,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc,EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_MAG_AVG_nt,ARTEMIS_DENSITY_Ncc,ARTEMIS_SPEED_kms,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG,new_time,Time_offset_hours,LAT_DIFF_deg,LONG_DIFF_deg,SCALED_ARTEMIS_DENSITY,SCALED_ARTEMIS_MAG_AVG
42,2017-03-19 03:00:00+00:00,-7.1,101.7,3.7,310.0,8.2,2017-03-19 04:00:00+00:00,3.628571428571429,7.0600000000000005,305.90000000000003,1.0,-7.0,102.79999999999997,2017-03-19 03:00:00+00:00,1,0.09999999999999964,1.099999999999966,7.0600000000000005,3.628571428571429
43,2017-03-19 04:00:00+00:00,-7.1,101.7,3.6,318.0,8.5,2017-03-19 05:00:00+00:00,3.1099999999999994,6.627142857142856,312.2428571428572,1.0,-7.0,102.79999999999997,2017-03-19 04:00:00+00:00,1,0.09999999999999964,1.099999999999966,6.627142857142856,3.1099999999999994
44,2017-03-19 05:00:00+00:00,-7.1,101.7,3.6,319.0,7.7,2017-03-19 06:00:00+00:00,3.208333333333334,6.213333333333334,312.15,1.0,-7.0,102.79999999999997,2017-03-19 05:00:00+00:00,1,0.09999999999999964,1.099999999999966,6.213333333333334,3.208333333333334
45,2017-03-19 06:00:00+00:00,-7.1,101.8,3.3,317.0,7.8,2017-03-19 07:00:00+00:00,3.358571428571428,6.332857142857144,309.6714285714285,1.0,-7.0,102.79999999999997,2017-03-19 06:00:00+00:00,1,0.09999999999999964,0.9999999999999716,6.332857142857144,3.358571428571428
46,2017-03-19 07:00:00+00:00,-7.1,101.8,3.5,316.0,7.3,2017-03-19 08:00:00+00:00,3.0566666666666666,6.271666666666666,310.43333333333334,1.0,-7.0,102.79999999999997,2017-03-19 07:00:00+00:00,1,0.09999999999999964,0.9999999999999716,6.271666666666666,3.0566666666666666
47,2017-03-19 08:00:00+00:00,-7.1,101.9,3.2,320.0,7.7,2017-03-19 09:00:00+00:00,3.141428571428572,6.688571428571429,311.0428571428571,1.0,-7.0,102.79999999999997,2017-03-19 08:00:00+00:00,1,0.09999999999999964,0.899999999999963,6.688571428571429,3.141428571428572
48,2017-03-19 09:00:00+00:00,-7.1,101.9,3.3,320.0,7.9,2017-03-19 10:00:00+00:00,2.861666666666667,6.986666666666667,315.1166666666666,1.0,-7.0,102.79999999999997,2017-03-19 09:00:00+00:00,1,0.09999999999999964,0.899999999999963,6.986666666666667,2.861666666666667
49,2017-03-19 10:00:00+00:00,-7.1,101.9,2.7,319.0,8.3,2017-03-19 11:00:00+00:00,2.882857142857143,7.275714285714288,314.07142857142856,1.0,-7.0,102.79999999999997,2017-03-19 10:00:00+00:00,1,0.09999999999999964,0.899999999999963,7.275714285714288,2.882857142857143
50,2017-03-19 11:00:00+00:00,-7.1,102.0,2.6,323.0,8.8,2017-03-19 12:00:00+00:00,2.9216666666666664,7.425000000000001,316.5833333333333,1.0,-7.0,102.79999999999997,2017-03-19 11:00:00+00:00,1,0.09999999999999964,0.7999999999999687,7.425000000000001,2.9216666666666664
51,2017-03-19 12:00:00+00:00,-7.1,102.0,3.0,321.0,8.9,2017-03-19 13:00:00+00:00,2.8942857142857146,7.429999999999999,314.3428571428571,1.0,-7.0,102.79999999999997,2017-03-19 12:00:00+00:00,1,0.09999999999999964,0.7999999999999687,7.429999999999999,2.8942857142857146
