EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG
 2017-04-03T00:00:00.000Z,1,-6.4,117.5
 2017-04-04T00:00:00.000Z,1,-6.4,118.5
 2017-04-05T00:00:00.000Z,1,-6.3,119.4
 2017-04-06T00:00:00.000Z,1,-6.3,120.4
 2017-04-07T00:00:00.000Z,1,-6.2,121.5
 2017-04-08T00:00:00.000Z,1,-6.1,122.5
 2017-04-09T00:00:00.000Z,1,-6,123.5
 2017-04-10T00:00:00.000Z,1,-6,124.5
 2017-04-11T00:00:00.000Z,1,-5.9,125.5
 2017-04-12T00:00:00.000Z,1,-5.8,126.5
 2017-04-13T00:00:00.000Z,1.01,-5.7,127.5
 2017-04-14T00:00:00.000Z,1.01,-5.7,128.5
 2017-04-15T00:00:00.000Z,1.01,-5.6,129.5
 2017-04-16T00:00:00.000Z,1,-5.5,130.5
 2017-04-17T00:00:00.000Z,1,-5.4,131.5
 2017-04-18T00:00:00.000Z,1,-5.3,132.5
 2017-04-19T00:00:00.000Z,1,-5.3,133.5
 2017-04-20T00:00:00.000Z,1,-5.2,134.5
 2017-04-21T00:00:00.000Z,1,-5.1,135.4
 2017-04-22T00:00:00.000Z,1,-5,136.4
 2017-04-23T00:00:00.000Z,1,-4.9,137.4
 2017-04-24T00:00:00.000Z,1,-4.8,138.3
 2017-04-25T00:00:00.000Z,1,-4.7,139.2
 2017-04-26T00:00:00.000Z,1,-4.7,140.2
 2017-04-27T00:00:00.000Z,1,-4.6,141.1
 2017-04-28T00:00:00.000Z,1,-4.5,142.1
 2017-04-29T00:00:00.000Z,1,-4.4,143
 2017-04-30T00:00:00.000Z,1.01,-4.3,144
 2017-05-01T00:00:00.000Z,1.01,-4.2,144.9
 2017-05-02T00:00:00.000Z,1.01,-4.1,145.9
 2017-05-03T00:00:00.000Z,1.01,-4,146.8
 2017-05-04T00:00:00.000Z,1.01,-3.9,147.8
 2017-05-05T00:00:00.000Z,1.01,-3.8,148.8
 2017-05-06T00:00:00.000Z,1.01,-3.7,149.7
 2017-05-07T00:00:00.000Z,1.01,-3.5,150.7
 2017-05-08T00:00:00.000Z,1.01,-3.4,151.7
 2017-05-09T00:00:00.000Z,1.01,-3.3,152.7
 2017-05-10T00:00:00.000Z,1.01,-3.2,153.7
 2017-05-11T00:00:00.000Z,1.01,-3.1,154.7
 2017-05-12T00:00:00.000Z,1.01,-3,155.7
 2017-05-13T00:00:00.000Z,1.01,-2.9,156.7
 2017-05-14T00:00:00.000Z,1.01,-2.7,157.6
 2017-05-15T00:00:00.000Z,1.01,-2.6,158.6
 2017-05-16T00:00:00.000Z,1.01,-2.5,159.6
 2017-05-17T00:00:00.000Z,1.01,-2.4,160.6
 2017-05-18T00:00:00.000Z,1.01,-2.3,161.5
 2017-05-19T00:00:00.000Z,1.01,-2.2,162.5
 2017-05-20T00:00:00.000Z,1.01,-2.1,163.4
 2017-05-21T00:00:00.000Z,1.01,-2,164.4
 2017-05-22T00:00:00.000Z,1.01,-1.8,165.3
 2017-05-23T00:00:00.000Z,1.01,-1.7,166.3
 2017-05-24T00:00:00.000Z,1.01,-1.6,167.2
 2017-05-25T00:00:00.000Z,1.01,-1.5,168.1
 2017-05-26T00:00:00.000Z,1.01,-1.4,169
 2017-05-27T00:00:00.000Z,1.01,-1.3,169.9
 2017-05-28T00:00:00.000Z,1.01,-1.2,170.9
 2017-05-29T00:00:00.000Z,1.01,-1,171.8
 2017-05-30T00:00:00.000Z,1.01,-0.9,172.7
 2017-05-31T00:00:00.000Z,1.01,-0.8,173.7
 2017-06-01T00:00:00.000Z,1.01,-0.7,174.6
 2017-06-02T00:00:00.000Z,1.01,-0.6,175.5
 2017-06-03T00:00:00.000Z,1.01,-0.4,176.5
 2017-06-04T00:00:00.000Z,1.02,-0.3,177.5
 2017-06-05T00:00:00.000Z,1.02,-0.2,178.4
 2017-06-06T00:00:00.000Z,1.02,-0.1,179.4
 2017-06-07T00:00:00.000Z,1.02,0.1,180.4
 2017-06-08T00:00:00.000Z,1.02,0.2,181.3
 2017-06-09T00:00:00.000Z,1.02,0.3,182.3
 2017-06-10T00:00:00.000Z,1.02,0.4,183.3
 2017-06-11T00:00:00.000Z,1.02,0.6,184.3
 2017-06-12T00:00:00.000Z,1.02,0.7,185.3
 2017-06-13T00:00:00.000Z,1.02,0.8,186.2
 2017-06-14T00:00:00.000Z,1.02,0.9,187.2
 2017-06-15T00:00:00.000Z,1.02,1,188.2
 2017-06-16T00:00:00.000Z,1.02,1.2,189.1
 2017-06-17T00:00:00.000Z,1.02,1.3,190.1
 2017-06-18T00:00:00.000Z,1.02,1.4,191
 2017-06-19T00:00:00.000Z,1.01,1.5,192
 2017-06-20T00:00:00.000Z,1.01,1.6,192.9
 2017-06-21T00:00:00.000Z,1.01,1.7,193.8
 2017-06-22T00:00:00.000Z,1.01,1.8,194.7
 2017-06-23T00:00:00.000Z,1.01,2,195.7
 2017-06-24T00:00:00.000Z,1.01,2.1,196.6
 2017-06-25T00:00:00.000Z,1.01,2.2,197.5
 2017-06-26T00:00:00.000Z,1.01,2.3,198.4
 2017-06-27T00:00:00.000Z,1.01,2.4,199.3
 2017-06-28T00:00:00.000Z,1.01,2.5,200.2
 2017-06-29T00:00:00.000Z,1.02,2.6,201.2
 2017-06-30T00:00:00.000Z,1.02,2.8,202.1
 2017-07-01T00:00:00.000Z,1.02,2.9,203.1
 2017-07-02T00:00:00.000Z,1.02,3,204
 2017-07-03T00:00:00.000Z,1.02,3.1,205
 2017-07-04T00:00:00.000Z,1.02,3.2,205.9
 2017-07-05T00:00:00.000Z,1.02,3.3,206.9
 2017-07-06T00:00:00.000Z,1.02,3.4,207.9
 2017-07-07T00:00:00.000Z,1.02,3.5,208.8
 2017-07-08T00:00:00.000Z,1.02,3.6,209.8
 2017-07-09T00:00:00.000Z,1.02,3.7,210.8
 2017-07-10T00:00:00.000Z,1.02,3.8,211.8
 2017-07-11T00:00:00.000Z,1.02,3.9,212.7
 2017-07-12T00:00:00.000Z,1.02,4,213.7
 2017-07-13T00:00:00.000Z,1.02,4.1,214.7
 2017-07-14T00:00:00.000Z,1.02,4.2,215.7
 2017-07-15T00:00:00.000Z,1.02,4.3,216.6
 2017-07-16T00:00:00.000Z,1.02,4.4,217.6
 2017-07-17T00:00:00.000Z,1.02,4.5,218.5
 2017-07-18T00:00:00.000Z,1.02,4.6,219.5
 2017-07-19T00:00:00.000Z,1.01,4.7,220.4
 2017-07-20T00:00:00.000Z,1.01,4.8,221.4
 2017-07-21T00:00:00.000Z,1.01,4.9,222.3
 2017-07-22T00:00:00.000Z,1.01,5,223.2
 2017-07-23T00:00:00.000Z,1.01,5.1,224.1
 2017-07-24T00:00:00.000Z,1.01,5.1,225.1
 2017-07-25T00:00:00.000Z,1.01,5.2,226
 2017-07-26T00:00:00.000Z,1.01,5.3,226.9
 2017-07-27T00:00:00.000Z,1.01,5.4,227.8
 2017-07-28T00:00:00.000Z,1.01,5.5,228.8
 2017-07-29T00:00:00.000Z,1.01,5.6,229.7
 2017-07-30T00:00:00.000Z,1.01,5.6,230.7
 2017-07-31T00:00:00.000Z,1.02,5.7,231.6
 2017-08-01T00:00:00.000Z,1.02,5.8,232.6
 2017-08-02T00:00:00.000Z,1.02,5.9,233.6
 2017-08-03T00:00:00.000Z,1.02,5.9,234.5
 2017-08-04T00:00:00.000Z,1.02,6,235.5
 2017-08-05T00:00:00.000Z,1.02,6.1,236.5
 2017-08-06T00:00:00.000Z,1.02,6.1,237.5
 2017-08-07T00:00:00.000Z,1.02,6.2,238.5
 2017-08-08T00:00:00.000Z,1.02,6.3,239.5
 2017-08-09T00:00:00.000Z,1.02,6.3,240.5
 2017-08-10T00:00:00.000Z,1.02,6.4,241.4
 2017-08-11T00:00:00.000Z,1.02,6.4,242.4
 2017-08-12T00:00:00.000Z,1.01,6.5,243.4
 2017-08-13T00:00:00.000Z,1.01,6.5,244.4
 2017-08-14T00:00:00.000Z,1.01,6.6,245.4
 2017-08-15T00:00:00.000Z,1.01,6.6,246.3
 2017-08-16T00:00:00.000Z,1.01,6.7,247.3
 2017-08-17T00:00:00.000Z,1.01,6.7,248.3
 2017-08-18T00:00:00.000Z,1.01,6.8,249.2
 2017-08-19T00:00:00.000Z,1.01,6.8,250.2
 2017-08-20T00:00:00.000Z,1.01,6.9,251.1
 2017-08-21T00:00:00.000Z,1.01,6.9,252
 2017-08-22T00:00:00.000Z,1.01,6.9,253
 2017-08-23T00:00:00.000Z,1.01,7,253.9
 2017-08-24T00:00:00.000Z,1.01,7,254.9
 2017-08-25T00:00:00.000Z,1.01,7,255.8
 2017-08-26T00:00:00.000Z,1.01,7.1,256.7
 2017-08-27T00:00:00.000Z,1.01,7.1,257.7
 2017-08-28T00:00:00.000Z,1.01,7.1,258.7
 2017-08-29T00:00:00.000Z,1.01,7.1,259.6
 2017-08-30T00:00:00.000Z,1.01,7.2,260.6
 2017-08-31T00:00:00.000Z,1.01,7.2,261.6
 2017-09-01T00:00:00.000Z,1.01,7.2,262.6
 2017-09-02T00:00:00.000Z,1.01,7.2,263.6
 2017-09-03T00:00:00.000Z,1.01,7.2,264.6
 2017-09-04T00:00:00.000Z,1.01,7.2,265.6
 2017-09-05T00:00:00.000Z,1.01,7.2,266.6
 2017-09-06T00:00:00.000Z,1.01,7.2,267.6
 2017-09-07T00:00:00.000Z,1.01,7.2,268.6
 2017-09-08T00:00:00.000Z,1.01,7.2,269.6
 2017-09-09T00:00:00.000Z,1.01,7.2,270.6
 2017-09-10T00:00:00.000Z,1.01,7.2,271.6
 2017-09-11T00:00:00.000Z,1.01,7.2,272.6
 2017-09-12T00:00:00.000Z,1.01,7.2,273.6
 2017-09-13T00:00:00.000Z,1.01,7.2,274.6
 2017-09-14T00:00:00.000Z,1.01,7.2,275.6
 2017-09-15T00:00:00.000Z,1,7.2,276.5
 2017-09-16T00:00:00.000Z,1,7.2,277.5
 2017-09-17T00:00:00.000Z,1,7.2,278.5
 2017-09-18T00:00:00.000Z,1,7.1,279.4
 2017-09-19T00:00:00.000Z,1,7.1,280.4
 2017-09-20T00:00:00.000Z,1,7.1,281.3
 2017-09-21T00:00:00.000Z,1,7.1,282.3
 2017-09-22T00:00:00.000Z,1,7.1,283.2
 2017-09-23T00:00:00.000Z,1,7,284.2
 2017-09-24T00:00:00.000Z,1,7,285.1
 2017-09-25T00:00:00.000Z,1,7,286.1
 2017-09-26T00:00:00.000Z,1,6.9,287.1
 2017-09-27T00:00:00.000Z,1,6.9,288.1
 2017-09-28T00:00:00.000Z,1,6.9,289
 2017-09-29T00:00:00.000Z,1,6.8,290
 2017-09-30T00:00:00.000Z,1,6.8,291
 2017-10-01T00:00:00.000Z,1,6.7,292
 2017-10-02T00:00:00.000Z,1,6.7,293
 2017-10-03T00:00:00.000Z,1,6.6,294.1
 2017-10-04T00:00:00.000Z,1,6.6,295.1
 2017-10-05T00:00:00.000Z,1,6.5,296.1
 2017-10-06T00:00:00.000Z,1,6.4,297.1
 2017-10-07T00:00:00.000Z,1,6.4,298.1
 2017-10-08T00:00:00.000Z,1,6.3,299.2
 2017-10-09T00:00:00.000Z,1,6.3,300.2
 2017-10-10T00:00:00.000Z,1,6.2,301.2
 2017-10-11T00:00:00.000Z,1,6.1,302.2
 2017-10-12T00:00:00.000Z,1,6.1,303.2
 2017-10-13T00:00:00.000Z,1,6,304.2
 2017-10-14T00:00:00.000Z,1,5.9,305.2
 2017-10-15T00:00:00.000Z,1,5.9,306.2
 2017-10-16T00:00:00.000Z,1,5.8,307.1
 2017-10-17T00:00:00.000Z,0.99,5.7,308.1
 2017-10-18T00:00:00.000Z,0.99,5.6,309.1
 2017-10-19T00:00:00.000Z,0.99,5.6,310
 2017-10-20T00:00:00.000Z,0.99,5.5,311
 2017-10-21T00:00:00.000Z,0.99,5.4,312
 2017-10-22T00:00:00.000Z,0.99,5.3,312.9
 2017-10-23T00:00:00.000Z,0.99,5.2,313.9
 2017-10-24T00:00:00.000Z,0.99,5.1,314.9
 2017-10-25T00:00:00.000Z,0.99,5.1,315.9
 2017-10-26T00:00:00.000Z,0.99,5,316.8
 2017-10-27T00:00:00.000Z,0.99,4.9,317.8
 2017-10-28T00:00:00.000Z,0.99,4.8,318.8
 2017-10-29T00:00:00.000Z,0.99,4.7,319.8
 2017-10-30T00:00:00.000Z,0.99,4.6,320.8
 2017-10-31T00:00:00.000Z,0.99,4.5,321.8
 2017-11-01T00:00:00.000Z,0.99,4.4,322.9
 2017-11-02T00:00:00.000Z,0.99,4.3,323.9
 2017-11-03T00:00:00.000Z,0.99,4.2,324.9
 2017-11-04T00:00:00.000Z,0.99,4,325.9
 2017-11-05T00:00:00.000Z,0.99,3.9,327
 2017-11-06T00:00:00.000Z,0.99,3.8,328
 2017-11-07T00:00:00.000Z,0.99,3.7,329
 2017-11-08T00:00:00.000Z,0.99,3.6,330.1
 2017-11-09T00:00:00.000Z,0.99,3.5,331.1
 2017-11-10T00:00:00.000Z,0.99,3.4,332.1
 2017-11-11T00:00:00.000Z,0.99,3.3,333.1
 2017-11-12T00:00:00.000Z,0.99,3.2,334.1
