EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,Dist2Sun_AU,HGI_LAT_deg,HGI_LONG_deg,SW_FLOW_SPEED_km_s,SW_PROTON_DENS_protons_cm3
 1973-01-04T22:00:00.000Z,3.38,3,218.9,-1.00E+31,-1.00E+31
 1973-01-04T23:00:00.000Z,3.38,3,218.9,-1.00E+31,-1.00E+31
 1973-01-05T00:00:00.000Z,3.38,3,218.9,-1.00E+31,-1.00E+31
 1973-01-05T01:00:00.000Z,3.38,3,218.9,350,0.188
 1973-01-05T02:00:00.000Z,3.38,3,218.9,346.4,0.2328
 1973-01-05T03:00:00.000Z,3.38,3,218.9,345.7,0.3674
 1973-01-05T04:00:00.000Z,3.38,3,218.9,344.4,0.2124
 1973-01-05T05:00:00.000Z,3.38,3,218.9,344.8,0.0519
 1973-01-05T06:00:00.000Z,3.38,3,218.9,345.3,0.099
 1973-01-05T07:00:00.000Z,3.38,3,218.9,-1.00E+31,-1.00E+31
 1973-01-05T08:00:00.000Z,3.38,3,218.9,344.7,0.0843
 1973-01-05T09:00:00.000Z,3.38,3,218.9,346.8,0.036
 1973-01-05T10:00:00.000Z,3.38,3,218.9,346.9,0.1372
 1973-01-05T11:00:00.000Z,3.38,3,218.9,347,0.1028
 1973-01-05T12:00:00.000Z,3.38,3,219,-1.00E+31,-1.00E+31
 1973-01-05T13:00:00.000Z,3.38,3,219,355.5,0.4407
 1973-01-05T14:00:00.000Z,3.38,3,219,353.4,0.1426
 1973-01-05T15:00:00.000Z,3.38,3,218.9,-1.00E+31,-1.00E+31
 1973-01-05T16:00:00.000Z,3.38,3,218.9,352.9,0.3801
 1973-01-05T17:00:00.000Z,3.38,3,218.9,353.6,0.1792
 1973-01-05T18:00:00.000Z,3.38,3,218.9,-1.00E+31,-1.00E+31
 1973-01-05T19:00:00.000Z,3.38,3,219,353.6,0.2671
 1973-01-05T20:00:00.000Z,3.39,3,219,-1.00E+31,-1.00E+31
 1973-01-05T21:00:00.000Z,3.39,3,219,351.5,0.3014
 1973-01-05T22:00:00.000Z,3.39,3,219,347.8,0.2398
 1973-01-05T23:00:00.000Z,3.39,3,219,347.8,0.2086
 1973-01-06T00:00:00.000Z,3.39,3,219,347.2,0.1902
 1973-01-06T01:00:00.000Z,3.39,3,219,347,0.2141
 1973-01-06T02:00:00.000Z,3.39,3,219.1,346.5,0.2171
 1973-01-06T03:00:00.000Z,3.39,3,219,347.1,0.4352
 1973-01-06T04:00:00.000Z,3.39,3,219,344.4,0.4115
 1973-01-06T05:00:00.000Z,3.39,3,219,348.6,0.3301
 1973-01-06T06:00:00.000Z,3.39,3,219,346.4,0.381
 1973-01-06T07:00:00.000Z,3.39,3,219,-1.00E+31,-1.00E+31
 1973-01-06T08:00:00.000Z,3.39,3,219,355.1,0.4059
 1973-01-06T09:00:00.000Z,3.39,3,219,349.9,0.3575
 1973-01-06T10:00:00.000Z,3.39,3,219.1,351.8,0.3877
 1973-01-06T11:00:00.000Z,3.39,3,219.1,-1.00E+31,-1.00E+31
 1973-01-06T12:00:00.000Z,3.39,3,219.1,-1.00E+31,-1.00E+31
 1973-01-06T13:00:00.000Z,3.39,3,219.1,372.1,0.8616
 1973-01-06T14:00:00.000Z,3.39,3,219,-1.00E+31,-1.00E+31
 1973-01-06T15:00:00.000Z,3.39,3,219,377.3,1.1453
 1973-01-06T16:00:00.000Z,3.39,3,219,377.5,1.2621
 1973-01-06T17:00:00.000Z,3.39,3,219.1,386.3,1.6388
 1973-01-06T18:00:00.000Z,3.39,3,219.1,389.9,1.5228
 1973-01-06T19:00:00.000Z,3.39,3,219.1,-1.00E+31,-1.00E+31
 1973-01-06T20:00:00.000Z,3.39,3,219.1,-1.00E+31,-1.00E+31
 1973-01-06T21:00:00.000Z,3.39,3,219.1,-1.00E+31,-1.00E+31
 1973-01-06T22:00:00.000Z,3.39,3,219.1,-1.00E+31,-1.00E+31
 1973-01-06T23:00:00.000Z,3.39,3,219.1,428.4,3.0344
 1973-01-07T00:00:00.000Z,3.39,3,219.2,436.5,2.1759
 1973-01-07T01:00:00.000Z,3.39,3,219.1,443.5,1.3013
 1973-01-07T02:00:00.000Z,3.39,3,219.1,436.4,1.7333
 1973-01-07T03:00:00.000Z,3.39,3,219.1,451.1,1.7978
 1973-01-07T04:00:00.000Z,3.39,3,219.1,458.7,2.5998
 1973-01-07T05:00:00.000Z,3.39,3,219.1,-1.00E+31,-1.00E+31
 1973-01-07T06:00:00.000Z,3.39,3,219.1,435.5,2.1986
 1973-01-07T07:00:00.000Z,3.39,3,219.1,-1.00E+31,-1.00E+31
 1973-01-07T08:00:00.000Z,3.4,3,219.2,-1.00E+31,-1.00E+31
 1973-01-07T09:00:00.000Z,3.4,3,219.2,443.6,0.4248
 1973-01-07T10:00:00.000Z,3.4,3,219.2,-1.00E+31,-1.00E+31
 1973-01-07T11:00:00.000Z,3.4,3,219.2,-1.00E+31,-1.00E+31
 1973-01-07T12:00:00.000Z,3.4,3,219.1,430.6,0.907
 1973-01-07T13:00:00.000Z,3.4,3,219.1,-1.00E+31,-1.00E+31
 1973-01-07T14:00:00.000Z,3.4,3,219.1,-1.00E+31,-1.00E+31
 1973-01-07T15:00:00.000Z,3.4,3,219.2,447.6,1.1554
 1973-01-07T16:00:00.000Z,3.4,3,219.2,459.3,1.457
 1973-01-07T17:00:00.000Z,3.4,3,219.2,463.1,1.2436
 1973-01-07T18:00:00.000Z,3.4,3,219.2,448.6,0.8966
 1973-01-07T19:00:00.000Z,3.4,3,219.2,460.8,0.9188
 1973-01-07T20:00:00.000Z,3.4,3,219.2,465.6,0.9451
 1973-01-07T21:00:00.000Z,3.4,3,219.2,-1.00E+31,-1.00E+31
 1973-01-07T22:00:00.000Z,3.4,3,219.2,464.8,1.0488
 1973-01-07T23:00:00.000Z,3.4,3,219.2,475.6,0.6928
 1973-01-08T00:00:00.000Z,3.4,3,219.2,478.9,0.9188
 1973-01-08T01:00:00.000Z,3.4,3,219.2,468.9,0.9339
 1973-01-08T02:00:00.000Z,3.4,3,219.2,476.3,0.6815
 1973-01-08T03:00:00.000Z,3.4,3,219.2,-1.00E+31,-1.00E+31
 1973-01-08T04:00:00.000Z,3.4,3,219.2,-1.00E+31,-1.00E+31
 1973-01-08T05:00:00.000Z,3.4,3,219.2,467.6,0.5024
 1973-01-08T06:00:00.000Z,3.4,3,219.3,-1.00E+31,-1.00E+31
 1973-01-08T07:00:00.000Z,3.4,3,219.3,-1.00E+31,-1.00E+31
 1973-01-08T08:00:00.000Z,3.4,3,219.3,-1.00E+31,-1.00E+31
 1973-01-08T09:00:00.000Z,3.4,3,219.3,-1.00E+31,-1.00E+31
 1973-01-08T10:00:00.000Z,3.4,3,219.2,508.1,0.1765
 1973-01-08T11:00:00.000Z,3.4,3,219.2,-1.00E+31,-1.00E+31
 1973-01-08T12:00:00.000Z,3.4,3,219.2,-1.00E+31,-1.00E+31
 1973-01-08T13:00:00.000Z,3.4,3.1,219.3,-1.00E+31,-1.00E+31
 1973-01-08T14:00:00.000Z,3.4,3.1,219.3,-1.00E+31,-1.00E+31
 1973-01-08T15:00:00.000Z,3.4,3.1,219.3,-1.00E+31,-1.00E+31
 1973-01-08T16:00:00.000Z,3.4,3.1,219.3,501.1,0.2146
 1973-01-08T17:00:00.000Z,3.4,3.1,219.3,506.2,0.2348
 1973-01-08T18:00:00.000Z,3.4,3.1,219.3,498.3,0.2585
 1973-01-08T19:00:00.000Z,3.4,3.1,219.3,496.7,0.2284
 1973-01-08T20:00:00.000Z,3.41,3.1,219.3,489.2,0.2231
 1973-01-08T21:00:00.000Z,3.41,3.1,219.3,-1.00E+31,-1.00E+31
 1973-01-08T22:00:00.000Z,3.41,3.1,219.3,501,0.1997
 1973-01-08T23:00:00.000Z,3.41,3.1,219.3,486.2,0.1791
 1973-01-09T00:00:00.000Z,3.41,3.1,219.3,-1.00E+31,-1.00E+31
 1973-01-09T01:00:00.000Z,3.41,3.1,219.3,-1.00E+31,-1.00E+31
 1973-01-09T02:00:00.000Z,3.41,3.1,219.3,-1.00E+31,-1.00E+31
 1973-01-09T03:00:00.000Z,3.41,3.1,219.3,-1.00E+31,-1.00E+31
 1973-01-09T04:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T05:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T06:00:00.000Z,3.41,3.1,219.4,491.1,0.188
 1973-01-09T07:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T08:00:00.000Z,3.41,3.1,219.3,-1.00E+31,-1.00E+31
 1973-01-09T09:00:00.000Z,3.41,3.1,219.3,-1.00E+31,-1.00E+31
 1973-01-09T10:00:00.000Z,3.41,3.1,219.3,-1.00E+31,-1.00E+31
 1973-01-09T11:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T12:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T13:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T14:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T15:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T16:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T17:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T18:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T19:00:00.000Z,3.41,3.1,219.5,-1.00E+31,-1.00E+31
 1973-01-09T20:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T21:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T22:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-09T23:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-10T00:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-10T01:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-10T02:00:00.000Z,3.41,3.1,219.5,-1.00E+31,-1.00E+31
 1973-01-10T03:00:00.000Z,3.41,3.1,219.5,-1.00E+31,-1.00E+31
 1973-01-10T04:00:00.000Z,3.41,3.1,219.5,-1.00E+31,-1.00E+31
 1973-01-10T05:00:00.000Z,3.41,3.1,219.5,-1.00E+31,-1.00E+31
 1973-01-10T06:00:00.000Z,3.41,3.1,219.5,-1.00E+31,-1.00E+31
 1973-01-10T07:00:00.000Z,3.41,3.1,219.4,-1.00E+31,-1.00E+31
 1973-01-10T08:00:00.000Z,3.42,3.1,219.4,-1.00E+31,-1.00E+31
