EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG
 2018-03-31T00:00:00.000Z,1,-6.6,114.4
 2018-04-01T00:00:00.000Z,1,-6.5,115.4
 2018-04-02T00:00:00.000Z,1,-6.5,116.4
 2018-04-03T00:00:00.000Z,1,-6.4,117.4
 2018-04-04T00:00:00.000Z,1,-6.4,118.5
 2018-04-05T00:00:00.000Z,1,-6.3,119.5
 2018-04-06T00:00:00.000Z,1,-6.2,120.5
 2018-04-07T00:00:00.000Z,1,-6.2,121.5
 2018-04-08T00:00:00.000Z,1,-6.1,122.5
 2018-04-09T00:00:00.000Z,1,-6,123.4
 2018-04-10T00:00:00.000Z,1,-6,124.4
 2018-04-11T00:00:00.000Z,1,-5.9,125.4
 2018-04-12T00:00:00.000Z,1,-5.8,126.4
 2018-04-13T00:00:00.000Z,1,-5.8,127.3
 2018-04-14T00:00:00.000Z,1,-5.7,128.3
 2018-04-15T00:00:00.000Z,1,-5.6,129.2
 2018-04-16T00:00:00.000Z,1,-5.6,130.2
 2018-04-17T00:00:00.000Z,1,-5.5,131.1
 2018-04-18T00:00:00.000Z,1,-5.4,132.1
 2018-04-19T00:00:00.000Z,1,-5.3,133
 2018-04-20T00:00:00.000Z,1,-5.2,134
 2018-04-21T00:00:00.000Z,1,-5.1,134.9
 2018-04-22T00:00:00.000Z,1,-5.1,135.9
 2018-04-23T00:00:00.000Z,1.01,-5,136.9
 2018-04-24T00:00:00.000Z,1.01,-4.9,137.8
 2018-04-25T00:00:00.000Z,1.01,-4.8,138.8
 2018-04-26T00:00:00.000Z,1.01,-4.7,139.8
 2018-04-27T00:00:00.000Z,1.01,-4.6,140.8
 2018-04-28T00:00:00.000Z,1.01,-4.5,141.8
 2018-04-29T00:00:00.000Z,1.01,-4.4,142.8
 2018-04-30T00:00:00.000Z,1.01,-4.3,143.8
 2018-05-01T00:00:00.000Z,1.01,-4.2,144.8
 2018-05-02T00:00:00.000Z,1.01,-4.1,145.8
 2018-05-03T00:00:00.000Z,1.01,-4,146.8
 2018-05-04T00:00:00.000Z,1.01,-3.9,147.8
 2018-05-05T00:00:00.000Z,1.01,-3.8,148.8
 2018-05-06T00:00:00.000Z,1.01,-3.6,149.8
 2018-05-07T00:00:00.000Z,1.01,-3.5,150.7
 2018-05-08T00:00:00.000Z,1.01,-3.4,151.7
 2018-05-09T00:00:00.000Z,1.01,-3.3,152.7
 2018-05-10T00:00:00.000Z,1.01,-3.2,153.6
 2018-05-11T00:00:00.000Z,1.01,-3.1,154.6
 2018-05-12T00:00:00.000Z,1.01,-3,155.5
 2018-05-13T00:00:00.000Z,1.01,-2.9,156.4
 2018-05-14T00:00:00.000Z,1.01,-2.8,157.4
 2018-05-15T00:00:00.000Z,1.01,-2.7,158.3
 2018-05-16T00:00:00.000Z,1.01,-2.6,159.2
 2018-05-17T00:00:00.000Z,1.01,-2.5,160.1
 2018-05-18T00:00:00.000Z,1.01,-2.4,161.1
 2018-05-19T00:00:00.000Z,1.01,-2.2,162
 2018-05-20T00:00:00.000Z,1.01,-2.1,162.9
 2018-05-21T00:00:00.000Z,1.01,-2,163.9
 2018-05-22T00:00:00.000Z,1.01,-1.9,164.8
 2018-05-23T00:00:00.000Z,1.01,-1.8,165.8
 2018-05-24T00:00:00.000Z,1.01,-1.6,166.7
 2018-05-25T00:00:00.000Z,1.01,-1.5,167.7
 2018-05-26T00:00:00.000Z,1.01,-1.4,168.7
 2018-05-27T00:00:00.000Z,1.02,-1.3,169.7
 2018-05-28T00:00:00.000Z,1.02,-1.2,170.6
 2018-05-29T00:00:00.000Z,1.02,-1,171.6
 2018-05-30T00:00:00.000Z,1.02,-0.9,172.6
 2018-05-31T00:00:00.000Z,1.02,-0.8,173.6
 2018-06-01T00:00:00.000Z,1.02,-0.7,174.6
 2018-06-02T00:00:00.000Z,1.02,-0.6,175.5
 2018-06-03T00:00:00.000Z,1.02,-0.4,176.5
 2018-06-04T00:00:00.000Z,1.02,-0.3,177.5
