,OMNI_VELOCITY_kms,ARTEMIS_VELOCITY_kms,Time_offset_hours,HGI_Lat_Diff,HGI_Lon_Diff,Distance_Traveled_AU
0,454.0,482.3,10,0.10000000000000053,1.5,0.010000000000000009
1,460.0,523.9571428571428,10,0.10000000000000142,1.5,0.010000000000000009
2,473.0,528.15,10,0.10000000000000053,1.5,0.010000000000000009
3,484.0,528.2857142857142,10,0.10000000000000142,1.3999999999999773,0.010000000000000009
4,482.0,548.0833333333334,10,0.10000000000000053,1.3999999999999773,0.010000000000000009
5,496.0,540.5428571428572,10,0.10000000000000142,1.299999999999983,0.010000000000000009
6,493.0,536.7833333333333,10,0.10000000000000053,1.299999999999983,0.010000000000000009
7,491.0,531.8428571428573,10,0.10000000000000142,1.299999999999983,0.010000000000000009
8,478.0,530.8666666666667,10,0.10000000000000231,1.1999999999999318,0.010000000000000453
9,478.0,534.9692307692308,10,0.10000000000000142,1.199999999999875,0.010000000000000897
10,476.0,521.6115384615384,10,8.881784197001252e-16,1.0999999999998806,0.010000000000000897
11,528.0,520.5615384615384,10,8.881784197001252e-16,1.0999999999998806,0.010000000000000897
12,526.0,510.68076923076933,10,8.881784197001252e-16,1.0999999999998806,0.010000000000000897
13,526.0,508.6538461538461,10,8.881784197001252e-16,0.9999999999998863,0.010000000000000897
14,550.0,512.1423076923077,10,8.881784197001252e-16,0.9999999999998863,0.010000000000000897
15,548.0,511.576923076923,10,8.881784197001252e-16,0.8999999999998636,0.010000000000000897
16,553.0,498.76923076923066,10,8.881784197001252e-16,0.8999999999998636,0.010000000000000897
17,542.0,491.0416666666668,10,1.7763568394002505e-15,0.8999999999999204,0.010000000000000453
18,540.0,271.94375,10,1.7763568394002505e-15,0.7999999999999545,0.010000000000000009
19,542.0,490.9,10,8.881784197001252e-16,0.799999999999983,0.010000000000000009
20,543.0,489.7833333333333,10,0.0,0.6999999999999886,0.010000000000000009
21,534.0,487.4428571428571,10,8.881784197001252e-16,0.6999999999999886,0.010000000000000009
22,523.0,490.81666666666666,10,0.0,0.6999999999999886,0.010000000000000009
23,522.0,486.02857142857147,10,8.881784197001252e-16,0.5999999999999943,0.010000000000000009
24,519.0,482.9,10,0.09999999999999964,1.5999999999999943,0.010000000000000009
25,511.0,480.8428571428572,10,0.09999999999999876,1.5,0.010000000000000009
26,513.0,479.9333333333333,10,0.09999999999999964,1.5,0.010000000000000009
27,502.0,465.64285714285705,10,0.09999999999999876,1.5,0.010000000000000009
28,494.0,466.88333333333327,10,0.09999999999999964,1.3999999999999773,0.010000000000000009
29,497.0,468.68571428571437,10,0.09999999999999876,1.3999999999999773,0.010000000000000009
30,492.0,463.8428571428572,10,0.09999999999999876,1.299999999999983,0.010000000000000009
31,495.0,459.48333333333335,10,0.09999999999999964,1.299999999999983,0.010000000000000009
32,493.0,449.9,10,0.09999999999999876,1.299999999999983,0.010000000000000009
33,492.0,449.56666666666666,10,0.09999999999999964,1.1999999999999886,0.010000000000000009
34,493.0,452.64285714285705,10,0.09999999999999876,1.1999999999999886,0.010000000000000009
35,489.0,438.8928571428572,10,0.09999999999999787,1.0999999999999943,0.010000000000000009
36,489.0,433.28000000000014,10,0.09999999999999876,1.0999999999999375,0.010000000000000897
37,470.0,425.6884615384615,10,0.09999999999999876,1.0999999999998806,0.010000000000000897
38,474.0,417.75384615384615,10,0.09999999999999876,0.9999999999998863,0.010000000000000897
39,478.0,413.55769230769226,10,0.09999999999999876,0.9999999999998863,0.010000000000000897
40,478.0,409.8615384615384,10,0.09999999999999876,0.8999999999998636,0.010000000000000897
41,469.0,404.7153846153846,10,0.09999999999999876,0.8999999999998636,0.010000000000000897
42,456.0,388.70434782608686,10,1.7763568394002505e-15,0.8999999999999204,0.010000000000000453
43,456.0,322.85,10,1.7763568394002505e-15,0.7999999999999261,0.010000000000000453
44,470.0,397.02307692307687,10,8.881784197001252e-16,0.7999999999998693,0.010000000000000897
45,457.0,396.38947368421066,10,1.7763568394002505e-15,0.6999999999999318,0.010000000000000231
46,443.0,388.61428571428564,10,8.881784197001252e-16,0.6999999999999886,0.010000000000000009
47,433.0,385.45,10,0.0,0.6999999999999886,0.010000000000000009
48,427.0,383.91428571428565,10,0.10000000000000053,1.5,0.010000000000000009
49,424.0,384.2833333333333,10,0.10000000000000053,1.5,0.010000000000000009
50,421.0,382.21428571428567,10,0.10000000000000053,1.4000000000000057,0.010000000000000009
51,417.0,377.1166666666666,10,0.10000000000000053,1.4000000000000057,0.010000000000000009
52,411.0,379.2,10,0.10000000000000053,1.4000000000000057,0.010000000000000009
53,408.0,378.56666666666666,10,0.10000000000000053,1.299999999999983,0.010000000000000009
54,410.0,376.85714285714295,10,0.10000000000000053,1.299999999999983,0.010000000000000009
55,406.0,374.75714285714287,10,0.10000000000000053,1.1999999999999886,0.010000000000000009
56,401.0,372.41666666666674,10,0.10000000000000053,1.1999999999999886,0.010000000000000009
57,396.0,372.78571428571433,10,0.10000000000000053,1.1999999999999886,0.010000000000000009
58,394.0,366.9,10,0.10000000000000053,1.0999999999999943,0.010000000000000009
59,392.0,361.0571428571429,10,0.10000000000000053,1.0999999999999943,0.010000000000000009
60,388.0,357.8,10,0.10000000000000053,1.0,0.010000000000000009
61,386.0,357.81428571428563,10,0.10000000000000053,1.0,0.010000000000000009
62,386.0,358.81428571428563,10,0.10000000000000053,0.9999999999999716,0.010000000000000009
63,384.0,357.2576923076923,10,0.10000000000000231,0.900000000000091,0.010000000000000897
64,383.0,356.88846153846146,10,0.10000000000000231,0.900000000000091,0.010000000000000897
65,380.0,352.90384615384613,10,0.10000000000000231,0.8000000000000682,0.010000000000000897
66,377.0,351.33076923076925,10,0.10000000000000231,0.8000000000000682,0.010000000000000897
67,379.0,343.8153846153846,10,0.10000000000000231,0.8000000000000682,0.010000000000000897
68,375.0,297.5375,10,0.10000000000000231,0.7000000000000455,0.010000000000000453
69,369.0,340.7407407407408,10,0.10000000000000231,0.7000000000000739,0.010000000000000897
70,365.0,337.073076923077,10,0.10000000000000231,0.6000000000000796,0.010000000000000897
71,366.0,335.22692307692313,10,0.10000000000000231,0.6000000000000796,0.010000000000000897
72,364.0,337.2826086956522,10,0.20000000000000018,1.5,0.010000000000000453
73,364.0,337.7857142857143,10,0.20000000000000018,1.4000000000000057,0.010000000000000009
74,366.0,339.53333333333336,10,0.20000000000000018,1.4000000000000057,0.010000000000000009
75,364.0,340.88571428571424,10,0.09999999999999964,1.3000000000000114,0.010000000000000009
76,359.0,336.8,10,0.09999999999999964,1.3000000000000114,0.010000000000000009
77,357.0,332.6,10,0.09999999999999964,1.3000000000000114,0.010000000000000009
78,355.0,335.0333333333333,10,0.09999999999999964,1.1999999999999886,0.010000000000000009
79,352.0,355.07142857142856,10,0.09999999999999964,1.1999999999999886,0.010000000000000009
80,350.0,362.85,10,0.09999999999999964,1.0999999999999943,0.010000000000000009
81,345.0,353.29999999999984,10,0.09999999999999964,1.0999999999999943,0.010000000000000009
82,343.0,343.66666666666674,10,0.09999999999999964,1.0999999999999943,0.010000000000000009
83,344.0,335.82857142857154,10,0.09999999999999964,1.0,0.010000000000000009
84,348.0,335.6333333333334,10,0.09999999999999964,1.0,0.010000000000000009
85,349.0,342.3,10,0.09999999999999964,0.9000000000000057,0.010000000000000009
86,345.0,340.2833333333333,10,0.09999999999999964,0.9000000000000057,0.010000000000000009
87,342.0,332.97142857142865,10,0.09999999999999964,0.9000000000000057,0.010000000000000009
88,342.0,333.05,10,0.09999999999999964,0.8000000000000114,0.010000000000000009
89,345.0,327.06666666666666,10,0.09999999999999964,0.8000000000000114,0.010000000000000009
90,369.0,323.7181818181818,10,0.09999999999999964,0.6999999999999886,0.010000000000000453
91,368.0,319.1333333333334,10,0.09999999999999964,0.6999999999999886,0.010000000000000009
92,356.0,317.62,10,0.09999999999999964,0.6999999999999886,0.010000000000000009
93,353.0,223.047619047619,10,0.09999999999999964,0.5999999999999943,0.010000000000000453
97,343.0,318.0625,10,0.09999999999999964,1.5,0.010000000000000009
98,344.0,353.99615384615385,10,0.09999999999999964,1.4000000000000057,0.010000000000000897
99,338.0,381.9684210526316,10,0.09999999999999964,1.4000000000000057,0.010000000000000231
100,334.0,450.8714285714285,10,0.09999999999999964,1.3000000000000114,0.010000000000000009
101,330.0,445.65,10,0.09999999999999964,1.3000000000000114,0.010000000000000009
102,329.0,469.5,10,0.09999999999999964,1.3000000000000114,0.010000000000000009
