EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,Ion_Density_n_cc,Ion_Velocity_km_s,Distance_From_Sun_AU,HGI_LAT_deg,HGI_LON_deg
2019-08-01 00:00:00+00:00,4.5249999999999995,482.29999999999995,1.01,5.7,232.20000000000002
2019-08-01 01:00:00+00:00,2.4142857142857146,523.9571428571428,1.01,5.700000000000001,232.20000000000002
2019-08-01 02:00:00+00:00,1.8716666666666664,528.15,1.01,5.7,232.20000000000002
2019-08-01 03:00:00+00:00,1.8114285714285714,528.2857142857142,1.01,5.700000000000001,232.20000000000002
2019-08-01 04:00:00+00:00,1.8383333333333336,548.0833333333334,1.01,5.7,232.20000000000002
2019-08-01 05:00:00+00:00,1.8242857142857143,540.5428571428572,1.01,5.700000000000001,232.20000000000002
2019-08-01 06:00:00+00:00,1.8716666666666668,536.7833333333333,1.01,5.7,232.20000000000002
2019-08-01 07:00:00+00:00,1.8057142857142858,531.8428571428573,1.01,5.700000000000001,232.20000000000002
2019-08-01 08:00:00+00:00,1.8657142857142857,530.8666666666666,1.0100000000000005,5.700000000000002,232.1999999999999
2019-08-01 09:00:00+00:00,1.8615384615384611,534.9692307692308,1.0100000000000007,5.700000000000001,232.19999999999987
2019-08-01 10:00:00+00:00,1.9553846153846153,521.6115384615384,1.0100000000000007,5.700000000000001,232.19999999999987
2019-08-01 11:00:00+00:00,1.915384615384616,520.5615384615384,1.0100000000000007,5.700000000000001,232.19999999999987
2019-08-01 12:00:00+00:00,2.0088461538461537,510.6807692307693,1.0100000000000007,5.700000000000001,232.19999999999987
2019-08-01 13:00:00+00:00,2.195,508.65384615384613,1.0100000000000007,5.700000000000001,232.19999999999987
2019-08-01 14:00:00+00:00,2.507307692307692,512.1423076923077,1.0100000000000007,5.700000000000001,232.19999999999987
2019-08-01 15:00:00+00:00,2.8038461538461537,511.576923076923,1.0100000000000007,5.700000000000001,232.19999999999987
2019-08-01 16:00:00+00:00,3.1746153846153855,498.7692307692307,1.0100000000000007,5.700000000000001,232.19999999999987
2019-08-01 17:00:00+00:00,2.920833333333334,491.0416666666668,1.0100000000000005,5.700000000000002,232.1999999999999
2019-08-01 18:00:00+00:00,0.306875,271.94375,1.01,5.700000000000002,232.19999999999993
2019-08-01 19:00:00+00:00,2.652857142857143,490.90000000000003,1.01,5.700000000000001,232.20000000000002
2019-08-01 20:00:00+00:00,2.6300000000000003,489.7833333333333,1.01,5.7,232.20000000000002
2019-08-01 21:00:00+00:00,2.552857142857143,487.4428571428571,1.01,5.700000000000001,232.20000000000002
2019-08-01 22:00:00+00:00,2.57,490.8166666666666,1.01,5.7,232.20000000000002
2019-08-01 23:00:00+00:00,2.3214285714285716,486.02857142857147,1.01,5.700000000000001,232.20000000000002
2019-08-02 00:00:00+00:00,2.1766666666666663,482.90000000000003,1.01,5.8,233.20000000000002
2019-08-02 01:00:00+00:00,1.9357142857142857,480.84285714285716,1.01,5.799999999999999,233.20000000000002
2019-08-02 02:00:00+00:00,1.755,479.93333333333334,1.01,5.8,233.20000000000002
2019-08-02 03:00:00+00:00,1.6585714285714286,465.64285714285705,1.01,5.799999999999999,233.20000000000002
2019-08-02 04:00:00+00:00,1.6449999999999998,466.88333333333327,1.01,5.8,233.20000000000002
2019-08-02 05:00:00+00:00,1.6871428571428573,468.68571428571425,1.01,5.799999999999999,233.20000000000002
2019-08-02 06:00:00+00:00,1.7128571428571426,463.84285714285716,1.01,5.799999999999999,233.20000000000002
2019-08-02 07:00:00+00:00,1.7083333333333333,459.48333333333335,1.01,5.8,233.20000000000002
2019-08-02 08:00:00+00:00,1.9414285714285715,449.90000000000003,1.01,5.799999999999999,233.20000000000002
2019-08-02 09:00:00+00:00,1.9066666666666665,449.56666666666666,1.01,5.8,233.20000000000002
2019-08-02 10:00:00+00:00,1.4157142857142857,452.64285714285705,1.01,5.799999999999999,233.20000000000002
2019-08-02 11:00:00+00:00,1.7149999999999999,438.8928571428572,1.01,5.799999999999998,233.19999999999996
2019-08-02 12:00:00+00:00,1.86,433.2800000000001,1.0100000000000007,5.799999999999999,233.1999999999999
2019-08-02 13:00:00+00:00,2.055,425.6884615384615,1.0100000000000007,5.799999999999999,233.19999999999987
2019-08-02 14:00:00+00:00,2.980384615384615,417.7538461538461,1.0100000000000007,5.799999999999999,233.19999999999987
2019-08-02 15:00:00+00:00,3.12076923076923,413.55769230769226,1.0100000000000007,5.799999999999999,233.19999999999987
2019-08-02 16:00:00+00:00,3.492307692307693,409.86153846153843,1.0100000000000007,5.799999999999999,233.19999999999987
2019-08-02 17:00:00+00:00,3.7369230769230772,404.7153846153846,1.0100000000000007,5.799999999999999,233.19999999999987
2019-08-02 18:00:00+00:00,3.5004347826086954,388.7043478260869,1.0100000000000005,5.799999999999998,233.1999999999999
2019-08-02 19:00:00+00:00,1.3637499999999998,322.84999999999997,1.0100000000000005,5.799999999999998,233.1999999999999
2019-08-02 20:00:00+00:00,4.114615384615386,397.0230769230769,1.0100000000000007,5.799999999999999,233.19999999999987
2019-08-02 21:00:00+00:00,4.392631578947369,396.3894736842106,1.0100000000000002,5.799999999999998,233.1999999999999
2019-08-02 22:00:00+00:00,4.421428571428571,388.6142857142857,1.01,5.799999999999999,233.20000000000002
2019-08-02 23:00:00+00:00,4.191666666666667,385.45,1.01,5.8,233.20000000000002
2019-08-03 00:00:00+00:00,3.847142857142857,383.9142857142857,1.01,5.8999999999999995,234.09999999999997
2019-08-03 01:00:00+00:00,3.2083333333333335,384.2833333333333,1.01,5.8999999999999995,234.1
