EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,PIONEER_DIST_Au,PIONEER_LAT_deg,PIONEER_LONG_deg,PIONEER_BR_nT,PIONEER_BT_nT,PIONEER_BN_nT,PIONEER_MAG_AVG_nT,PIONEER_SPEED_kms,PIONEER_DENSITY_Ncm3,PIONEER_TEMP_DegK
 1974-01-01T00:00:00.000Z,3.12,4.4,248.9,-1.2761,1.7204,1.1447,2.4351,431.9,0.5952,9096
 1974-01-01T01:00:00.000Z,3.12,4.4,248.9,-1.3647,1.4535,1.3581,2.4327,427.7,0.5402,13016
 1974-01-01T02:00:00.000Z,3.12,4.4,248.9,-1.3227,1.5283,1.2315,2.3935,421.6,0.4207,6806
 1974-01-01T03:00:00.000Z,3.12,4.4,248.9,-1.203,1.5007,1.3672,2.3823,413.3,0.5168,10532
 1974-01-01T04:00:00.000Z,3.12,4.4,248.9,-1.1842,1.4396,1.4192,2.3577,416.2,0.1415,7244
 1974-01-01T05:00:00.000Z,3.12,4.4,248.9,-1.1773,1.3362,1.4496,2.3166,414.8,0.3329,10939
 1974-01-01T06:00:00.000Z,3.12,4.4,248.9,-1.3363,1.3734,1.3309,2.3396,412.1,0.4925,13477
 1974-01-01T07:00:00.000Z,3.12,4.4,248.9,-1.3748,1.4419,1.1705,2.3556,416.2,0.5252,11083
 1974-01-01T08:00:00.000Z,3.12,4.4,248.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,415.4,1.1639,14931
 1974-01-01T09:00:00.000Z,3.12,4.4,248.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,414,0.9007,18195
 1974-01-01T10:00:00.000Z,3.12,4.4,248.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,419,0.617,12798
 1974-01-01T11:00:00.000Z,3.12,4.4,248.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,415.1,0.7369,21943
 1974-01-01T12:00:00.000Z,3.12,4.4,248.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,417,0.8261,28042
 1974-01-01T13:00:00.000Z,3.12,4.4,248.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,410.2,0.6702,43560
 1974-01-01T14:00:00.000Z,3.12,4.4,248.9,-0.9314,0.7411,1.3534,1.8398,412.8,0.508,72262
 1974-01-01T15:00:00.000Z,3.12,4.4,248.9,-0.8894,1.2557,0.9886,1.8476,418.3,0.4501,57190
 1974-01-01T16:00:00.000Z,3.12,4.4,248.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,422.7,0.3173,46390
 1974-01-01T17:00:00.000Z,3.12,4.4,248.9,-0.986,1.1393,1.1991,1.9321,423.3,0.3684,40001
 1974-01-01T18:00:00.000Z,3.12,4.4,248.9,-0.7925,1.1072,1.1034,1.834,423,0.368,49527
 1974-01-01T19:00:00.000Z,3.12,4.4,249,-0.5182,1.6051,0.1514,1.709,-1.00E+31,-1.00E+31,-1.00E+31
 1974-01-01T20:00:00.000Z,3.12,4.4,249,-0.5339,1.1366,0.3775,1.5259,425.6,0.4596,84094
 1974-01-01T21:00:00.000Z,3.12,4.4,249,-0.1722,1.0188,-0.1883,1.1893,427,0.3993,111552
 1974-01-01T22:00:00.000Z,3.12,4.4,249,-0.4159,0.8389,0.4669,1.0752,422.8,0.3802,131017
 1974-01-01T23:00:00.000Z,3.12,4.4,249,-0.333,1.2705,-0.0028,1.3454,423.7,0.3345,114771
 1974-01-02T00:00:00.000Z,3.12,4.4,249,-0.0085,1.0739,-0.274,1.1333,421.3,0.3337,104546
 1974-01-02T01:00:00.000Z,3.12,4.4,249,-0.2078,1.1226,-0.0145,1.1821,417.3,0.3379,104632
 1974-01-02T02:00:00.000Z,3.12,4.4,249,-0.292,1.3045,0.0383,1.3672,419.1,0.2862,103916
 1974-01-02T03:00:00.000Z,3.12,4.4,249,-0.1827,1.3771,-0.0895,1.4784,446.6,0.2332,63827
 1974-01-02T04:00:00.000Z,3.13,4.4,249,-0.5077,1.469,0.3052,1.6571,416,0.3069,82850
 1974-01-02T05:00:00.000Z,3.13,4.4,249,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,412.1,0.2232,60097
 1974-01-02T06:00:00.000Z,3.13,4.4,249,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,408.6,0.2437,67142
 1974-01-02T07:00:00.000Z,3.13,4.4,249,-0.6676,1.527,0.4975,1.7535,395.5,0.3261,70888
 1974-01-02T08:00:00.000Z,3.13,4.4,249,-0.4649,1.4504,0.4017,1.5902,397.7,0.3297,111839
 1974-01-02T09:00:00.000Z,3.13,4.4,249,-0.5167,1.3275,0.8336,1.6693,388.6,0.2853,120326
 1974-01-02T10:00:00.000Z,3.13,4.4,249,-0.6413,1.1669,0.8315,1.5844,390.1,0.2762,101372
 1974-01-02T11:00:00.000Z,3.13,4.4,249,-0.6242,1.4846,0.4568,1.6814,387.5,0.2639,84406
 1974-01-02T12:00:00.000Z,3.13,4.4,249,-0.387,1.5911,0.257,1.6752,395.8,0.2653,63727
 1974-01-02T13:00:00.000Z,3.13,4.4,249.1,-0.3427,1.5907,0.2653,1.6762,394.4,0.2979,48301
 1974-01-02T14:00:00.000Z,3.13,4.4,249.1,-0.2797,1.5927,-0.1183,1.6374,394.3,0.278,50949
 1974-01-02T15:00:00.000Z,3.13,4.4,249.1,-0.4074,1.5191,0.164,1.6274,-1.00E+31,-1.00E+31,-1.00E+31
 1974-01-02T16:00:00.000Z,3.13,4.4,249.1,-0.4865,1.5317,0.2282,1.6373,393.1,0.33,28728
 1974-01-02T17:00:00.000Z,3.13,4.4,249.1,-0.3591,1.5843,-0.121,1.6347,395.6,0.2631,32561
 1974-01-02T18:00:00.000Z,3.13,4.4,249.1,-0.1729,1.5647,-0.1445,1.6042,391,0.2146,24046
 1974-01-02T19:00:00.000Z,3.13,4.4,249.1,-0.3574,1.4089,0.0294,1.4971,392.7,0.2739,33282
 1974-01-02T20:00:00.000Z,3.13,4.4,249.1,-0.5513,1.0622,0.5551,1.3943,384.4,0.3587,33720
 1974-01-02T21:00:00.000Z,3.13,4.4,249.1,-0.3916,1.1209,0.077,1.2361,389.4,0.3152,30999
 1974-01-02T22:00:00.000Z,3.13,4.4,249.1,-0.4259,1.0611,0.0459,1.2229,396.9,0.2348,44072
 1974-01-02T23:00:00.000Z,3.13,4.4,249.1,-0.27,1.1116,-0.1299,1.2027,398.6,0.1922,26762
 1974-01-03T00:00:00.000Z,3.13,4.4,249.1,-0.6267,0.4177,-0.4259,0.9196,420.3,0.1999,29248
 1974-01-03T01:00:00.000Z,3.13,4.4,249.1,-0.5709,0.0926,-0.1126,0.5985,443.7,0.1305,19982
 1974-01-03T02:00:00.000Z,3.13,4.4,249.1,-0.5442,0.1685,-0.0033,0.5848,448.3,0.1432,19974
 1974-01-03T03:00:00.000Z,3.13,4.4,249.1,-0.5556,0.1622,-0.0133,0.5844,447.7,0.1303,22711
 1974-01-03T04:00:00.000Z,3.13,4.4,249.1,-0.5371,0.2201,0.0123,0.586,442.9,0.19,37655
 1974-01-03T05:00:00.000Z,3.13,4.4,249.1,-0.4369,0.3962,-0.0426,0.6006,444.5,0.1732,24802
 1974-01-03T06:00:00.000Z,3.13,4.4,249.1,-0.4645,0.3911,-0.0875,0.6195,444.9,0.1804,12910
 1974-01-03T07:00:00.000Z,3.13,4.4,249.2,-0.463,0.2235,-0.1409,0.5722,445.9,0.1528,14690
 1974-01-03T08:00:00.000Z,3.13,4.4,249.2,-0.5119,0.2577,0.0314,0.5875,437.5,0.16,19200
 1974-01-03T09:00:00.000Z,3.13,4.4,249.2,-0.5092,0.2896,-0.0912,0.5969,431.3,0.1383,20212
 1974-01-03T10:00:00.000Z,3.13,4.4,249.2,-0.3538,0.4395,-0.1292,0.5872,422.9,0.1692,15583
 1974-01-03T11:00:00.000Z,3.13,4.4,249.2,-0.3149,0.4802,-0.1553,0.6007,417.6,0.1196,8911
 1974-01-03T12:00:00.000Z,3.13,4.4,249.2,-0.3069,0.4086,-0.0524,0.5338,420.1,0.2057,15100
 1974-01-03T13:00:00.000Z,3.14,4.4,249.2,-0.3797,0.3599,-0.093,0.5468,419.4,0.1589,16599
 1974-01-03T14:00:00.000Z,3.14,4.4,249.2,-0.4031,0.32,-0.1021,0.5556,423.8,0.1562,22420
 1974-01-03T15:00:00.000Z,3.14,4.4,249.2,-0.2815,0.429,-0.1039,0.5386,422.8,0.225,19664
