EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_HGI_LAT_deg,OMNI_HGI_LON_deg,OMNI_speed_km_s,OMNI_density_n_cc
 1972-12-26T18:00:00.000Z,-2.4,19.2,401,4.5
 1972-12-26T19:00:00.000Z,-2.4,19.2,390,4.7
 1972-12-26T20:00:00.000Z,-2.4,19.3,388,4.7
 1972-12-26T21:00:00.000Z,-2.4,19.3,394,4.4
 1972-12-26T22:00:00.000Z,-2.4,19.4,376,4.3
 1972-12-26T23:00:00.000Z,-2.4,19.4,367,4.4
 1972-12-27T00:00:00.000Z,-2.4,19.4,-1.00E+31,-1.00E+31
 1972-12-27T01:00:00.000Z,-2.4,19.5,-1.00E+31,-1.00E+31
 1972-12-27T02:00:00.000Z,-2.4,19.5,-1.00E+31,-1.00E+31
 1972-12-27T03:00:00.000Z,-2.4,19.6,-1.00E+31,-1.00E+31
 1972-12-27T04:00:00.000Z,-2.4,19.6,-1.00E+31,-1.00E+31
 1972-12-27T05:00:00.000Z,-2.4,19.6,-1.00E+31,-1.00E+31
 1972-12-27T06:00:00.000Z,-2.5,19.7,-1.00E+31,-1.00E+31
 1972-12-27T07:00:00.000Z,-2.5,19.7,-1.00E+31,-1.00E+31
 1972-12-27T08:00:00.000Z,-2.5,19.8,-1.00E+31,-1.00E+31
 1972-12-27T09:00:00.000Z,-2.5,19.8,-1.00E+31,-1.00E+31
 1972-12-27T10:00:00.000Z,-2.5,19.9,-1.00E+31,-1.00E+31
 1972-12-27T11:00:00.000Z,-2.5,19.9,-1.00E+31,-1.00E+31
 1972-12-27T12:00:00.000Z,-2.5,19.9,-1.00E+31,-1.00E+31
 1972-12-27T13:00:00.000Z,-2.5,20,-1.00E+31,-1.00E+31
 1972-12-27T14:00:00.000Z,-2.5,20,-1.00E+31,-1.00E+31
 1972-12-27T15:00:00.000Z,-2.5,20.1,-1.00E+31,-1.00E+31
